Temperature, C	Time, min	dL/L0_corr
40.343	0.01	-3.7399000000000003e-07
40.34	0.02	-1.70332e-06
40.34	0.03	-2.9094000000000004e-07
40.345	0.04	1.6608800000000001e-06
40.347	0.05	-2.4098e-06
40.346	0.06	6.850899999999998e-07
40.348	0.07	1.0172899999999997e-06
40.347	0.08	1.6587e-07
40.348	0.09	1.0797e-06
40.348	0.1	1.39153e-06
40.35	0.11	7.4751e-07
40.355	0.12	-4.5705000000000003e-07
40.355	0.13	-2.0788000000000003e-07
40.353	0.14	-2.9110000000000006e-07
40.353	0.15	4.565800000000001e-07
40.357	0.16	3.1109999999999987e-07
40.361	0.17	-9.973e-07
40.366	0.18	-1.3714000000000003e-06
40.369	0.19	-2.92905e-06
40.371	0.2	-3.0954e-06
40.376	0.21	-1.4751200000000002e-06
40.376	0.22	-4.366000000000002e-07
40.378	0.23	-3.327e-07
40.379	0.24	-1.41262e-06
40.383	0.25	-8.311999999999998e-07
40.387	0.26	-1.6660000000000002e-07
40.387	0.27	-1.8491000000000004e-06
40.393	0.28	-8.939000000000005e-07
40.393	0.29	-1.6207999999999998e-06
40.406	0.3	-7.065999999999999e-07
40.401	0.31	-2.2930000000000007e-07
40.413	0.32	-1.0598000000000002e-06
40.418	0.33	3.7309999999999987e-07
40.431	0.34	-1.0185000000000005e-06
40.436	0.35	-2.0829999999999977e-07
40.44	0.36	6.016000000000001e-07
40.451	0.37	1.0169000000000002e-06
40.462	0.38	4.562000000000004e-07
40.468	0.39	1.4114999999999997e-06
40.468	0.4	-8.107000000000001e-07
40.485	0.41	1.0791e-06
40.497	0.42	1.7644000000000002e-06
40.512	0.43	1.0371999999999996e-06
40.519	0.44	-2.9210000000000013e-07
40.528	0.45	-2.7149999999999986e-07
40.546	0.46	4.0099999999999836e-08
40.556	0.47	4.5560000000000035e-07
40.575	0.48	4.0099999999999836e-08
40.592	0.49	2.3038999999999997e-06
40.602	0.5	-1.1021999999999994e-06
40.617	0.51	-7.078000000000002e-07
40.632	0.52	3.2176000000000008e-06
40.654	0.53	9.952999999999996e-07
40.673	0.54	6.629999999999994e-07
40.695	0.55	7.459000000000008e-07
40.717	0.56	1.3068e-06
40.735	0.57	1.6806000000000005e-06
40.755	0.58	1.2443999999999995e-06
40.777	0.59	2.6566e-06
