Temperature, C	Time, min	dL/L0_corr
40.298	0.020833	-7.00700000000001e-08
40.303	0.041667	-8.5911e-07
40.303	0.0625	-1.5391000000000004e-06
40.315	0.083333	-7.085000000000003e-07
40.319	0.10417	1.4677499999999998e-06
40.323	0.125	-5.281999999999999e-07
40.317	0.14583	-1.9466000000000008e-07
40.323	0.16667	1.50925e-06
40.33	0.1875	6.644499999999999e-07
40.338	0.20833000000000002	2.8939999999999993e-07
40.336	0.22916999999999998	4.6849999999999983e-07
40.343	0.25	1.6053500000000002e-06
40.35	0.27083	5.659e-07
40.353	0.29167	6.216000000000001e-07
40.349	0.3125	3.438999999999998e-07
40.355	0.33333	1.2718000000000003e-06
40.361	0.35417	-1.5260999999999997e-06
40.36	0.375	-8.56000000000005e-08
40.36	0.39583	1.4937000000000002e-06
40.371	0.41667	8.850899999999999e-07
40.375	0.4375	8.838000000000003e-07
40.385	0.45833	-3.621000000000001e-07
40.379	0.47917	5.930999999999999e-07
40.387	0.5	7.176000000000001e-07
40.394	0.52083	1.1615000000000002e-06
40.401	0.54167	-7.370999999999997e-07
40.402	0.5625	-1.1107999999999996e-06
40.408	0.58333	1.0771999999999996e-06
40.403	0.60417	9.470000000000013e-08
40.414	0.625	1.1187e-06
40.42	0.64583	-1.9569000000000007e-06
40.421	0.66667	1.6359999999999959e-07
40.421	0.6875	5.230000000000003e-07
40.431	0.70833	-2.115e-07
40.438	0.72917	-9.731999999999994e-07
40.443	0.75	-1.6934999999999995e-06
40.45	0.77083	3.9839999999999986e-07
40.458	0.79167	-5.436999999999996e-07
40.461	0.8125	1.4094e-06
40.475	0.8333299999999999	3.4270000000000055e-07
40.48	0.8541700000000001	4.114e-07
40.488	0.875	1.4094e-06
40.493	0.8958299999999999	-1.0109999999999976e-07
40.499	0.9166700000000001	3.829000000000002e-07
40.511	0.9375	2.2672e-06
40.52	0.9583299999999999	2.0594999999999995e-06
40.524	0.9791700000000001	6.177999999999994e-07
40.539	1.0	-1.210700000000001e-06
40.541	1.02083	-1.4742000000000002e-06
40.55	1.04167	1.9894999999999993e-06
40.556	1.0625	9.915999999999991e-07
