1.56E+04;1.10E+05;3.22E+05;6.79E+05;1.21E+06;1.93E+06;2.90E+06;4.16E+06;5.84E+06;8.16E+06;1.17E+07;1.82E+07;4.25E+07
8.70E+03;6.12E+04;1.79E+05;3.78E+05;6.72E+05;1.08E+06;1.61E+06;2.32E+06;3.25E+06;4.54E+06;6.50E+06;1.01E+07;2.36E+07
4.96E+03;3.49E+04;1.02E+05;2.16E+05;3.83E+05;6.14E+05;9.20E+05;1.32E+06;1.85E+06;2.59E+06;3.70E+06;5.78E+06;1.35E+07
2.89E+03;2.03E+04;5.95E+04;1.26E+05;2.23E+05;3.58E+05;5.36E+05;7.70E+05;1.08E+06;1.51E+06;2.16E+06;3.37E+06;7.85E+06
1.72E+03;1.21E+04;3.54E+04;7.47E+04;1.33E+05;2.13E+05;3.19E+05;4.58E+05;6.42E+05;8.98E+05;1.28E+06;2.00E+06;4.67E+06
1.04E+03;7.33E+03;2.15E+04;4.53E+04;8.06E+04;1.29E+05;1.93E+05;2.78E+05;3.90E+05;5.45E+05;7.79E+05;1.22E+06;2.84E+06
6.45E+02;4.53E+03;1.33E+04;2.80E+04;4.98E+04;7.98E+04;1.20E+05;1.72E+05;2.41E+05;3.37E+05;4.82E+05;7.51E+05;1.75E+06
4.06E+02;2.85E+03;8.36E+03;1.76E+04;3.13E+04;5.02E+04;7.53E+04;1.08E+05;1.52E+05;2.12E+05;3.03E+05;4.73E+05;1.10E+06
2.60E+02;1.83E+03;5.35E+03;1.13E+04;2.01E+04;3.21E+04;4.82E+04;6.92E+04;9.70E+04;1.36E+05;1.94E+05;3.02E+05;7.06E+05
1.69E+02;1.19E+03;3.48E+03;7.33E+03;1.30E+04;2.09E+04;3.13E+04;4.50E+04;6.31E+04;8.81E+04;1.26E+05;1.97E+05;4.59E+05
1.11E+02;7.83E+02;2.29E+03;4.84E+03;8.60E+03;1.38E+04;2.07E+04;2.97E+04;4.16E+04;5.81E+04;8.32E+04;1.30E+05;3.03E+05
7.46E+01;5.24E+02;1.53E+03;3.24E+03;5.76E+03;9.22E+03;1.38E+04;1.99E+04;2.79E+04;3.89E+04;5.57E+04;8.68E+04;2.03E+05
5.06E+01;3.55E+02;1.04E+03;2.20E+03;3.91E+03;6.26E+03;9.38E+03;1.35E+04;1.89E+04;2.64E+04;3.78E+04;5.89E+04;1.37E+05
3.48E+01;2.44E+02;7.15E+02;1.51E+03;2.68E+03;4.30E+03;6.44E+03;9.25E+03;1.30E+04;1.81E+04;2.60E+04;4.05E+04;9.44E+04
2.42E+01;1.70E+02;4.98E+02;1.05E+03;1.87E+03;2.99E+03;4.48E+03;6.44E+03;9.03E+03;1.26E+04;1.81E+04;2.81E+04;6.57E+04
1.70E+01;1.20E+02;3.50E+02;7.39E+02;1.31E+03;2.10E+03;3.15E+03;4.53E+03;6.36E+03;8.88E+03;1.27E+04;1.98E+04;4.62E+04
1.21E+01;8.51E+01;2.49E+02;5.26E+02;9.35E+02;1.50E+03;2.24E+03;3.22E+03;4.52E+03;6.32E+03;9.04E+03;1.41E+04;3.29E+04
8.71E+00;6.12E+01;1.79E+02;3.78E+02;6.72E+02;1.08E+03;1.61E+03;2.32E+03;3.25E+03;4.55E+03;6.50E+03;1.01E+04;2.37E+04
6.33E+00;4.45E+01;1.30E+02;2.75E+02;4.89E+02;7.83E+02;1.17E+03;1.68E+03;2.36E+03;3.30E+03;4.72E+03;7.37E+03;1.72E+04
4.64E+00;3.26E+01;9.55E+01;2.02E+02;3.58E+02;5.74E+02;8.60E+02;1.24E+03;1.73E+03;2.42E+03;3.47E+03;5.40E+03;1.26E+04
3.44E+00;2.41E+01;7.07E+01;1.49E+02;2.65E+02;4.25E+02;6.37E+02;9.15E+02;1.28E+03;1.79E+03;2.57E+03;4.00E+03;9.33E+03
2.57E+00;1.80E+01;5.28E+01;1.12E+02;1.98E+02;3.18E+02;4.76E+02;6.83E+02;9.59E+02;1.34E+03;1.92E+03;2.99E+03;6.97E+03
1.93E+00;1.36E+01;3.98E+01;8.40E+01;1.49E+02;2.39E+02;3.58E+02;5.15E+02;7.22E+02;1.01E+03;1.44E+03;2.25E+03;5.25E+03
1.47E+00;1.03E+01;3.02E+01;6.38E+01;1.13E+02;1.82E+02;2.72E+02;3.91E+02;5.49E+02;7.66E+02;1.10E+03;1.71E+03;3.99E+03
1.12E+00;7.90E+00;2.31E+01;4.88E+01;8.68E+01;1.39E+02;2.08E+02;2.99E+02;4.20E+02;5.87E+02;8.39E+02;1.31E+03;3.05E+03
8.67E-01;6.09E+00;1.78E+01;3.76E+01;6.69E+01;1.07E+02;1.61E+02;2.31E+02;3.24E+02;4.52E+02;6.47E+02;1.01E+03;2.35E+03
6.73E-01;4.73E+00;1.39E+01;2.92E+01;5.20E+01;8.33E+01;1.25E+02;1.79E+02;2.51E+02;3.51E+02;5.03E+02;7.84E+02;1.83E+03
5.26E-01;3.70E+00;1.08E+01;2.29E+01;4.06E+01;6.51E+01;9.76E+01;1.40E+02;1.97E+02;2.75E+02;3.93E+02;6.13E+02;1.43E+03
4.14E-01;2.91E+00;8.53E+00;1.80E+01;3.20E+01;5.12E+01;7.68E+01;1.10E+02;1.55E+02;2.16E+02;3.09E+02;4.82E+02;1.13E+03
3.28E-01;2.31E+00;6.75E+00;1.43E+01;2.53E+01;4.06E+01;6.08E+01;8.74E+01;1.23E+02;1.71E+02;2.45E+02;3.82E+02;8.91E+02
