Temperature, C	Time, min	dL/L0_corr
41.962	1.45	-2.9109999999999997e-06
41.975	1.46	-9.549999999999934e-07
41.998	1.47	8.309999999999993e-07
42.012	1.48	-2.1860000000000024e-06
42.03	1.49	-2.1059999999999964e-06
42.055	1.5	-4.090999999999999e-06
42.071	1.51	-2.8190000000000013e-06
42.089	1.52	-6.370000000000008e-07
42.11	1.53	-3.0499999999999793e-07
42.128	1.54	-3.079000000000009e-06
42.142	1.55	-2.784000000000006e-06
42.165	1.56	-1.560999999999994e-06
42.185	1.57	-2.909000000000002e-06
42.205	1.58	-1.0659999999999996e-06
42.224	1.59	-9.819999999999984e-07
42.237	1.6	-2.874e-06
42.262	1.61	-1.3180000000000033e-06
42.281	1.62	-1.2010000000000043e-06
42.288	1.63	-2.9670000000000006e-06
42.31	1.64	-1.8730000000000005e-06
42.331	1.65	-3.5099999999999715e-07
42.357	1.66	-1.6800000000000042e-06
42.377	1.67	1.0600000000000203e-07
42.39	1.68	-1.2339999999999953e-06
42.414	1.69	-2.1059999999999897e-06
42.43	1.7	-3.2909999999999995e-06
42.452	1.71	-4.66999999999994e-07
42.468	1.72	-2.9209999999999946e-06
42.494	1.73	-1.8830000000000021e-06
42.522	1.74	-2.8219999999999943e-06
42.535	1.75	-1.160999999999991e-06
42.554	1.76	-1.1870000000000007e-06
42.566	1.77	-2.7239999999999963e-06
42.584	1.78	-2.021e-06
42.608	1.79	-1.3789999999999948e-06
42.629	1.8	-2.606000000000002e-06
42.654	1.81	-4.353999999999999e-06
42.668	1.82	-5.124000000000007e-06
42.681	1.83	-4.858999999999995e-06
42.703	1.84	-4.175e-06
42.734	1.85	-7.5309999999999996e-06
42.754	1.86	-6.114999999999998e-06
42.774	1.87	-2.7099999999999927e-06
42.792	1.88	-5.685000000000011e-06
42.818	1.89	-5.416000000000004e-06
42.835	1.9	-5.880000000000005e-06
42.853	1.91	-3.0069999999999934e-06
42.88	1.92	-2.8819999999999904e-06
42.905	1.93	-3.7359999999999927e-06
42.926	1.94	-4.532000000000003e-06
42.942	1.95	-5.094000000000002e-06
42.963	1.96	-3.369000000000001e-06
42.989	1.97	6.330000000000056e-07
43.016	1.98	-1.5900000000000034e-06
43.034	1.99	-3.020999999999997e-06
43.048	2.0	-3.821000000000003e-06
43.064	2.01	-6.070000000000001e-06
43.082	2.02	-4.342000000000007e-06
43.114	2.03	-2.9709999999999958e-06
43.135	2.04	-3.2840000000000045e-06
43.153	2.05	-6.163000000000002e-06
43.173	2.06	-6.84999999999999e-06
43.202	2.07	-7.97499999999999e-06
43.23	2.08	-5.501999999999989e-06
43.247	2.09	-4.1279999999999984e-06
43.269	2.1	-4.2749999999999955e-06
43.295	2.11	-4.237999999999996e-06
43.32	2.12	-2.516000000000001e-06
43.337	2.13	-6.0720000000000056e-06
43.368	2.14	-4.433000000000003e-06
43.388	2.15	-5.93499999999999e-06
43.414	2.16	-2.673999999999995e-06
43.437	2.17	-5.416999999999992e-06
43.455	2.18	-3.2620000000000104e-06
43.483	2.19	-3.598000000000002e-06
43.501	2.2	-6.590999999999992e-06
43.53	2.21	-4.491999999999997e-06
43.549	2.22	-6.556999999999985e-06
43.584	2.23	-4.978999999999994e-06
43.607	2.24	-5.622999999999997e-06
43.635	2.25	-5.403999999999991e-06
43.664	2.26	-4.593000000000015e-06
43.692	2.27	-3.161999999999981e-06
43.728	2.28	-3.8099999999999923e-06
43.743	2.29	-3.667000000000004e-06
43.777	2.3	-4.290000000000001e-06
43.798	2.31	-4.149000000000004e-06
43.821	2.32	-4.130000000000003e-06
43.852	2.33	-4.841000000000003e-06
43.879	2.34	-6.557000000000012e-06
43.901	2.35	-5.851000000000009e-06
43.925	2.36	-6.287999999999991e-06
43.951	2.37	-5.083999999999994e-06
43.981	2.38	-6.165000000000006e-06
44.018	2.39	-4.669999999999994e-06
44.041	2.4	-3.7199999999999983e-06
44.068	2.41	-3.2799999999999957e-06
44.097	2.42	-5.109999999999997e-06
44.115	2.43	-4.559999999999997e-06
44.154	2.44	-4.9999999999999996e-06
44.18	2.45	-9.35000000000001e-06
44.209	2.46	-7.190000000000004e-06
44.228	2.47	-4.420000000000002e-06
44.253	2.48	-5.189999999999996e-06
44.288	2.49	-9.24e-06
44.317	2.5	-6.429999999999991e-06
44.351	2.51	-5.209999999999999e-06
44.374	2.52	-8.180000000000006e-06
44.403	2.53	-8.519999999999993e-06
44.433	2.54	-6.2999999999999905e-06
44.461	2.55	-5.3799999999999925e-06
44.484	2.56	-6.02e-06
44.516	2.57	-4.169999999999996e-06
44.547	2.58	-6.540000000000002e-06
44.574	2.59	-6.309999999999999e-06
44.605	2.6	-4.710000000000001e-06
44.632	2.61	-6.230000000000013e-06
44.665	2.62	-8.599999999999992e-06
44.698	2.63	-5.899999999999981e-06
44.72	2.64	-6.02e-06
44.756	2.65	-7.3099999999999825e-06
44.779	2.66	-7.520000000000009e-06
44.812	2.67	-6.3700000000000085e-06
44.841	2.68	-6.640000000000004e-06
44.877	2.69	-7.260000000000008e-06
44.902	2.7	-7.0000000000000075e-06
44.93	2.71	-9.099999999999977e-06
44.961	2.72	-6.669999999999989e-06
44.99	2.73	-6.02e-06
45.02	2.74	-9.470000000000003e-06
45.053	2.75	-7.779999999999983e-06
45.089	2.76	-6.979999999999991e-06
45.118	2.77	-1.1010000000000018e-05
45.153	2.78	-6.1799999999999984e-06
45.189	2.79	-6.969999999999996e-06
45.214	2.8	-5.520000000000015e-06
45.243	2.81	-8.719999999999984e-06
45.283	2.82	-1.0629999999999998e-05
45.307	2.83	-1.0200000000000004e-05
45.334	2.84	-8.740000000000001e-06
45.368	2.85	-6.599999999999998e-06
45.401	2.86	-6.9299999999999896e-06
45.427	2.87	-7.220000000000002e-06
45.464	2.88	-9.470000000000003e-06
45.496	2.89	-7.150000000000011e-06
45.527	2.9	-8.450000000000016e-06
45.559	2.91	-7.97000000000002e-06
45.603	2.92	-7.989999999999983e-06
45.626	2.93	-9.410000000000006e-06
45.66	2.94	-8.539999999999996e-06
45.685	2.95	-9.699999999999992e-06
45.72	2.96	-9.799999999999994e-06
45.753	2.97	-1.0670000000000005e-05
45.788	2.98	-9.30000000000001e-06
45.823	2.99	-9.820000000000011e-06
45.846	3.0	-1.540999999999999e-05
45.883	3.01	-9.819999999999984e-06
45.917	3.02	-8.100000000000007e-06
45.946	3.03	-1.1460000000000002e-05
45.982	3.04	-1.1109999999999994e-05
46.012	3.05	-1.094e-05
46.048	3.06	-1.2120000000000013e-05
46.075	3.07	-1.1290000000000009e-05
46.114	3.08	-1.1109999999999994e-05
46.145	3.09	-1.1299999999999977e-05
46.169	3.1	-1.006999999999999e-05
46.204	3.11	-1.0090000000000007e-05
46.238	3.12	-1.2099999999999996e-05
46.278	3.13	-9.510000000000009e-06
46.307	3.14	-1.0150000000000003e-05
46.347	3.15	-1.1460000000000002e-05
46.373	3.16	-1.0130000000000013e-05
46.406	3.17	-1.2789999999999991e-05
46.446	3.18	-1.4020000000000005e-05
46.469	3.19	-1.1959999999999987e-05
46.509	3.2	-1.2169999999999987e-05
46.542	3.21	-1.3099999999999993e-05
46.569	3.22	-1.2600000000000008e-05
46.603	3.23	-1.111000000000002e-05
46.646	3.24	-1.2670000000000026e-05
46.672	3.25	-1.6339999999999996e-05
46.718	3.26	-1.3409999999999995e-05
46.745	3.27	-1.1439999999999985e-05
46.786	3.28	-8.77999999999998e-06
46.819	3.29	-1.1770000000000004e-05
46.853	3.3	-1.4600000000000003e-05
46.897	3.31	-1.2829999999999997e-05
46.927	3.32	-1.0250000000000005e-05
46.953	3.33	-1.1400000000000006e-05
46.992	3.34	-1.5839999999999984e-05
47.028	3.35	-1.4409999999999992e-05
47.058	3.36	-1.4850000000000009e-05
47.091	3.37	-1.771000000000002e-05
47.121	3.38	-1.3420000000000017e-05
47.161	3.39	-1.4180000000000003e-05
47.198	3.4	-1.812999999999999e-05
47.234	3.41	-1.4509999999999995e-05
47.265	3.42	-1.2519999999999995e-05
47.318	3.43	-1.5060000000000008e-05
47.337	3.44	-1.2980000000000001e-05
47.37	3.45	-1.5310000000000014e-05
47.419	3.46	-1.1460000000000002e-05
47.443	3.47	-1.2640000000000015e-05
47.477	3.48	-1.319e-05
47.525	3.49	-1.3579999999999989e-05
47.553	3.5	-1.519999999999999e-05
47.59	3.51	-1.1539999999999988e-05
47.634	3.52	-1.2939999999999995e-05
47.659	3.53	-1.4769999999999996e-05
47.705	3.54	-1.4609999999999997e-05
47.738	3.55	-1.4139999999999997e-05
47.774	3.56	-1.3950000000000014e-05
47.813	3.57	-1.429e-05
47.849	3.58	-1.5039999999999992e-05
47.891	3.59	-1.565e-05
47.921	3.6	-1.8050000000000005e-05
47.951	3.61	-1.605000000000001e-05
47.991	3.62	-1.6010000000000004e-05
48.032	3.63	-1.4060000000000011e-05
48.076	3.64	-1.6840000000000008e-05
48.111	3.65	-1.680000000000003e-05
48.145	3.66	-1.4260000000000016e-05
48.186	3.67	-1.6160000000000035e-05
48.219	3.68	-1.5329999999999977e-05
48.259	3.69	-1.6019999999999972e-05
48.304	3.7	-1.5159999999999956e-05
48.338	3.71	-1.760999999999999e-05
48.379	3.72	-1.7809999999999994e-05
48.41	3.73	-1.642000000000001e-05
48.451	3.74	-1.7250000000000013e-05
48.509	3.75	-1.9169999999999994e-05
48.546	3.76	-1.5240000000000023e-05
48.582	3.77	-1.6339999999999996e-05
48.614	3.78	-1.7650000000000022e-05
48.645	3.79	-1.7030000000000018e-05
48.691	3.8	-1.874e-05
48.735	3.81	-1.8020000000000048e-05
48.773	3.82	-1.772999999999998e-05
48.807	3.83	-2.0229999999999988e-05
48.844	3.84	-1.968e-05
48.889	3.85	-1.8289999999999962e-05
48.925	3.86	-1.751999999999998e-05
48.964	3.87	-1.6359999999999986e-05
49.018	3.88	-1.6379999999999975e-05
49.047	3.89	-1.8789999999999974e-05
49.083	3.9	-1.8139999999999986e-05
49.127	3.91	-2.0680000000000026e-05
49.167	3.92	-1.992000000000004e-05
49.208	3.93	-1.935000000000001e-05
49.254	3.94	-1.841000000000001e-05
49.287	3.95	-1.893000000000001e-05
49.326	3.96	-2.01e-05
49.366	3.97	-2.191999999999998e-05
49.406	3.98	-1.992999999999998e-05
49.449	3.99	-1.774999999999997e-05
49.493	4.0	-1.7670000000000012e-05
49.53	4.01	-1.9209999999999974e-05
49.571	4.02	-1.9189999999999984e-05
49.614	4.03	-2.249000000000001e-05
49.662	4.04	-2.0019999999999988e-05
49.702	4.05	-2.0490000000000016e-05
49.733	4.06	-2.0260000000000026e-05
49.779	4.07	-1.8620000000000008e-05
49.823	4.08	-1.898000000000004e-05
