Temperature, C	Time, min	dL/L0_corr
41.173	0.014166999999999999	-4.1528e-08
41.172	0.028332999999999997	1.27303e-06
41.175	0.0425	1.1827899999999999e-06
41.176	0.056666999999999995	-9.751499999999999e-07
41.178	0.07083300000000001	-2.7635999999999997e-07
41.179	0.085	1.06539e-06
41.172	0.09916699999999999	1.80571e-06
41.171	0.11333	1.4734799999999998e-06
41.175	0.1275	2.06208e-06
41.171	0.14167000000000002	2.71222e-06
41.175	0.15583	-1.0997299999999998e-06
41.173	0.17	1.0581999999999999e-06
41.166	0.18417	2.0764e-07
41.168	0.19833	1.52934e-06
41.175	0.2125	2.2138800000000004e-06
41.166	0.22666999999999998	1.97898e-06
41.165	0.24083000000000002	1.4248500000000002e-06
41.172	0.255	1.8401280000000003e-06
41.171	0.26916999999999996	6.9164e-07
41.176	0.28333	3.1202899999999997e-06
41.161	0.2975	1.9303e-06
41.165	0.31167	2.8296e-06
41.162	0.32583	3.19614e-06
41.168	0.34	2.42152e-06
41.165	0.35417	1.14845e-06
41.169	0.36833	3.8606e-06
41.166	0.3825	1.68832e-06
41.164	0.39666999999999997	4.6425e-06
41.171	0.41083000000000003	4.0267e-06
41.176	0.425	2.19384e-06
41.175	0.43917	5.0921e-06
41.175	0.45333	3.32072e-06
41.175	0.4675	5.2998e-06
41.179	0.48167	5.2167e-06
41.176	0.49583	3.1202899999999997e-06
41.182	0.51	5.0993000000000005e-06
41.182	0.52417	4.5178999999999996e-06
41.183	0.53833	3.9020999999999995e-06
41.193	0.5525	3.411e-06
41.193	0.56667	-9.120999999999999e-07
41.196	0.5808300000000001	5.223899999999999e-06
41.201	0.595	6.7317e-06
41.204	0.60917	7.0712e-06
41.205	0.62333	3.9509e-06
41.208	0.6375	5.9571e-06
41.215	0.65167	8.3785e-06
41.212	0.66583	7.686900000000001e-06
41.212	0.68	4.581000000000001e-06
41.217	0.69417	7.5352e-06
41.222	0.70833	9.5485e-06
41.223	0.7225	7.5623000000000004e-06
41.225	0.7366699999999999	8.1709e-06
41.237	0.75083	9.908e-06
41.23	0.765	6.4139e-06
41.233	0.77917	6.995300000000001e-06
41.234	0.79333	6.4067e-06
41.247	0.8075	7.1127e-06
41.25	0.8216700000000001	8.766600000000002e-06
41.261	0.83583	7.3275e-06
41.265	0.85	9.216300000000002e-06
41.273	0.8641700000000001	6.552799999999999e-06
41.272	0.8783299999999999	8.939899999999999e-06
41.278	0.8925	8.9742e-06
41.278	0.9066700000000001	1.04549e-05
41.285	0.9208299999999999	8.981499999999999e-06
41.285	0.935	9.5556e-06
41.294	0.9491700000000001	9.9151e-06
41.305	0.9633299999999999	1.08216e-05
41.308	0.9775	9.1476e-06
41.312	0.99167	1.07456e-05
41.317	1.00583	8.4974e-06
41.33	1.02	9.729e-06
41.333	1.03417	1.0054e-05
41.337	1.04833	9.369499999999999e-06
41.357	1.0625	1.05523e-05
41.361	1.07667	1.2282199999999999e-05
41.375	1.09083	9.7705e-06
41.378	1.105	1.41294e-05
41.38	1.11917	1.12998e-05
41.392	1.13333	1.10922e-05
41.401	1.1475	1.13973e-05
41.414	1.16167	9.9166e-06
41.423	1.17583	1.3611100000000001e-05
41.425	1.19	1.16808e-05
41.436	1.20417	1.1521899999999999e-05
41.444	1.21833	1.23596e-05
41.457	1.2325	1.20761e-05
41.465	1.2466700000000002	1.19858e-05
41.478	1.26083	1.16121e-05
41.487	1.275	1.08373e-05
41.497	1.2891700000000001	1.32589e-05
