Temperature, C	Time, min	dL/L0_corr
40.476	0.01	3.215299999999999e-07
40.479	0.02	1.1105719999999999e-06
40.479	0.03	3.3946e-06
40.482	0.04	-1.1628000000000001e-06
40.487	0.05	-7.890399999999999e-07
40.486	0.06	-2.69394e-06
40.49	0.07	-3.187e-06
40.492	0.08	2.2532e-06
40.489	0.09	-1.069043e-06
40.49	0.1	-1.97727e-06
40.496	0.11	-8.506000000000002e-07
40.496	0.12	-1.5513e-06
40.493	0.13	-2.6619000000000007e-06
40.496	0.14	-5.397339999999999e-06
40.496	0.15	-6.2279e-06
40.503	0.16	-5.71348e-06
40.501	0.17	-7.08391e-06
40.505	0.18	-7.33308e-06
40.507	0.19	-6.08723e-06
40.511	0.2	-7.41074e-06
40.518	0.21	-6.491820000000001e-06
40.519	0.22	-7.97615e-06
40.524	0.23	-9.34118e-06
40.528	0.24	-9.590349999999999e-06
40.543	0.25	-1.017175e-05
40.55	0.26	-9.34118e-06
40.563	0.27	-1.028055e-05
40.563	0.28	-1.0898079999999998e-05
40.571	0.29	-1.1188769999999998e-05
40.589	0.3	-1.1354889999999998e-05
40.6	0.31	-9.184599999999998e-06
40.617	0.32	-1.2506889999999998e-05
40.639	0.33	-1.0840400000000002e-05
40.66	0.34	-1.12502e-05
40.688	0.35	-1.410491e-05
40.705	0.36	-1.5802169999999997e-05
40.728	0.37	-1.50439e-05
40.749	0.38	-1.62428e-05
40.785	0.39	-1.3538100000000002e-05
40.823	0.4	-1.3200400000000002e-05
40.848	0.41	-1.44301e-05
40.888	0.42	-1.3978699999999999e-05
40.93	0.43	-1.6205e-05
40.968	0.44	-1.31265e-05
41.014	0.45	-1.55352e-05
41.061	0.46	-1.7896899999999998e-05
41.103	0.47	-1.5395400000000005e-05
41.139	0.48	-1.72588e-05
41.203	0.49	-1.7460999999999998e-05
41.244	0.5	-1.9479700000000003e-05
41.294	0.51	-1.84307e-05
41.347	0.52	-2.1150000000000002e-05
41.411	0.53	-2.0361000000000004e-05
41.454	0.54	-2.0226e-05
41.503	0.55	-2.0506000000000003e-05
41.562	0.56	-2.2037e-05
41.628	0.57	-2.0821999999999995e-05
41.694	0.58	-2.0941e-05
41.762	0.59	-2.2046e-05
41.82	0.6	-2.1355e-05
41.873	0.61	-2.3384999999999997e-05
41.933	0.62	-2.5035000000000003e-05
41.999	0.63	-2.2537999999999997e-05
42.063	0.64	-2.4931e-05
42.126	0.65	-2.5547999999999997e-05
42.195	0.66	-2.5033999999999998e-05
42.245	0.67	-2.5255999999999997e-05
42.329	0.68	-2.7938999999999998e-05
42.379	0.69	-2.6231000000000007e-05
42.443	0.7	-2.5503000000000006e-05
42.505	0.71	-2.6239999999999996e-05
42.581	0.72	-2.5483000000000003e-05
42.634	0.73	-2.6203000000000006e-05
42.696	0.74	-2.8928000000000005e-05
42.77	0.75	-3.115400000000001e-05
42.83	0.76	-3.089999999999999e-05
42.901	0.77	-3.211899999999999e-05
42.969	0.78	-3.2559000000000005e-05
43.019	0.79	-3.420999999999999e-05
43.086	0.8	-3.4521000000000004e-05
43.154	0.81	-3.4184000000000003e-05
43.208	0.82	-3.482600000000001e-05
43.274	0.83	-3.4223e-05
43.344	0.84	-3.548899999999999e-05
43.396	0.85	-3.652200000000001e-05
43.472	0.86	-3.8784999999999995e-05
43.541	0.87	-3.590800000000001e-05
43.605	0.88	-3.738699999999999e-05
43.66	0.89	-4.1052e-05
43.734	0.9	-4.1279e-05
43.796	0.91	-4.2997e-05
43.853	0.92	-4.182800000000001e-05
43.935	0.93	-4.3717e-05
43.989	0.94	-4.295299999999999e-05
44.035	0.95	-4.281300000000002e-05
44.119	0.96	-4.3851e-05
44.183	0.97	-4.5443e-05
44.253	0.98	-4.8654999999999994e-05
44.311	0.99	-4.861399999999999e-05
44.382	1.0	-4.7353999999999994e-05
44.435	1.01	-4.340600000000001e-05
44.505	1.02	-5.112000000000001e-05
44.558	1.03	-4.9540000000000003e-05
44.619	1.04	-4.976500000000001e-05
44.685	1.05	-5.2768999999999996e-05
44.745	1.06	-4.930800000000001e-05
44.816	1.07	-5.3945e-05
44.889	1.08	-5.495600000000001e-05
44.947	1.09	-5.5123999999999996e-05
45.014	1.1	-5.465300000000001e-05
45.087	1.11	-5.6882e-05
45.151	1.12	-5.9221999999999996e-05
45.207	1.13	-5.7449e-05
45.296	1.14	-6.046799999999999e-05
45.353	1.15	-6.168700000000001e-05
45.413	1.16	-6.307200000000001e-05
45.481	1.17	-5.9652000000000004e-05
45.548	1.18	-6.1871e-05
45.616	1.19	-6.380700000000001e-05
45.694	1.2	-6.3157e-05
45.764	1.21	-6.4834e-05
45.828	1.22	-6.6591e-05
45.905	1.23	-6.8529e-05
45.974	1.24	-6.796499999999999e-05
46.052	1.25	-6.892999999999999e-05
46.119	1.26	-6.945999999999999e-05
46.182	1.27	-7.272999999999999e-05
46.262	1.28	-7.267e-05
46.346	1.29	-7.128999999999999e-05
46.426	1.3	-7.233999999999999e-05
46.498	1.31	-7.359999999999999e-05
46.569	1.32	-6.951999999999998e-05
46.654	1.33	-7.488999999999998e-05
46.731	1.34	-7.581999999999999e-05
46.817	1.35	-7.625e-05
46.902	1.36	-7.974999999999999e-05
46.977	1.37	-7.827e-05
47.069	1.38	-7.934000000000001e-05
47.15	1.39	-8.100000000000002e-05
47.236	1.4	-8.089000000000002e-05
47.332	1.41	-8.088000000000003e-05
47.417	1.42	-8.47e-05
47.507	1.43	-8.546000000000001e-05
47.583	1.44	-8.489000000000001e-05
47.674	1.45	-8.606e-05
47.765	1.46	-8.588000000000001e-05
47.858	1.47	-8.900000000000002e-05
47.957	1.48	-8.736e-05
48.056	1.49	-8.754000000000002e-05
48.142	1.5	-8.963000000000002e-05
48.246	1.51	-9.164000000000001e-05
48.361	1.52	-9.118999999999997e-05
48.444	1.53	-9.174000000000001e-05
48.531	1.54	-9.465999999999999e-05
48.642	1.55	-9.57e-05
48.744	1.56	-9.638999999999999e-05
48.827	1.57	-9.726999999999997e-05
48.941	1.58	-9.822999999999999e-05
49.037	1.59	-9.845000000000001e-05
49.148	1.6	-0.00010128
49.253	1.61	-0.00010067999999999996
49.36	1.62	-0.00010276
49.469	1.63	-0.00010014000000000003
49.569	1.64	-0.00010478000000000004
49.662	1.65	-0.00010581999999999999
49.778	1.66	-0.00010533999999999999
49.895	1.67	-0.00010746
50.008	1.68	-0.00010789000000000003
50.104	1.69	-0.00010959000000000001
50.214	1.7	-0.00011068000000000002
50.319	1.71	-0.0001116
50.425	1.72	-0.00010837999999999999
50.544	1.73	-0.00011542000000000003
50.65	1.74	-0.00011423
50.759	1.75	-0.00011598000000000001
50.872	1.76	-0.00011630000000000001
50.971	1.77	-0.00011717999999999999
